user_id,item_id,purchase_count,total_spent,num_clicks,num_views,interaction_score
user_1,item_17,0.0,0.0,1.0,1.0,0.30000000000000004
user_1,item_5,0.0,0.0,1.0,0.0,0.2
user_10,item_1,0.0,0.0,1.0,0.0,0.2
user_10,item_5,0.0,0.0,1.0,0.0,0.2
user_10,item_8,0.0,0.0,0.0,1.0,0.1
user_100,item_14,0.0,0.0,1.0,0.0,0.2
user_100,item_6,1.0,137.03,0.0,0.0,1.0
user_11,item_12,0.0,0.0,1.0,0.0,0.2
user_12,item_4,0.0,0.0,1.0,0.0,0.2
user_12,item_5,1.0,29.16,0.0,0.0,1.0
user_13,item_10,0.0,0.0,0.0,0.0,0.0
user_13,item_4,0.0,0.0,1.0,0.0,0.2
user_14,item_13,1.0,58.78,0.0,0.0,1.0
user_14,item_3,0.0,0.0,0.0,1.0,0.1
user_14,item_4,0.0,0.0,0.0,0.0,0.0
user_14,item_5,1.0,147.37,0.0,0.0,1.0
user_15,item_10,1.0,38.85,0.0,0.0,1.0
user_15,item_15,1.0,103.46,0.0,0.0,1.0
user_15,item_18,0.0,0.0,1.0,0.0,0.2
user_16,item_11,0.0,0.0,0.0,1.0,0.1
user_16,item_13,0.0,0.0,0.0,0.0,0.0
user_16,item_3,1.0,144.82,0.0,0.0,1.0
user_16,item_9,0.0,0.0,1.0,0.0,0.2
user_17,item_13,0.0,0.0,0.0,1.0,0.1
user_17,item_8,0.0,0.0,1.0,0.0,0.2
user_18,item_16,0.0,0.0,1.0,0.0,0.2
user_18,item_7,0.0,0.0,1.0,0.0,0.2
user_19,item_11,0.0,0.0,0.0,0.0,0.0
user_19,item_16,0.0,0.0,1.0,0.0,0.2
user_19,item_18,0.0,0.0,1.0,0.0,0.2
user_19,item_6,1.0,111.53,0.0,0.0,1.0
user_2,item_12,0.0,0.0,0.0,1.0,0.1
user_2,item_13,0.0,0.0,0.0,1.0,0.1
user_2,item_5,1.0,16.14,0.0,0.0,1.0
user_2,item_7,0.0,0.0,0.0,0.0,0.0
user_2,item_8,0.0,0.0,0.0,1.0,0.1
user_20,item_11,0.0,0.0,0.0,1.0,0.1
user_20,item_7,0.0,0.0,0.0,0.0,0.0
user_21,item_11,0.0,0.0,0.0,1.0,0.1
user_21,item_14,1.0,77.4,1.0,0.0,1.2
user_21,item_20,0.0,0.0,0.0,1.0,0.1
user_22,item_18,0.0,0.0,0.0,1.0,0.1
user_22,item_4,1.0,129.92,0.0,0.0,1.0
user_22,item_5,0.0,0.0,0.0,1.0,0.1
user_22,item_7,0.0,0.0,1.0,0.0,0.2
user_22,item_9,0.0,0.0,0.0,0.0,0.0
user_23,item_17,0.0,0.0,0.0,0.0,0.0
user_23,item_20,1.0,140.95,0.0,0.0,1.0
user_23,item_8,1.0,84.46,0.0,0.0,1.0
user_24,item_11,1.0,29.69,0.0,0.0,1.0
user_24,item_15,0.0,0.0,1.0,0.0,0.2
user_24,item_6,0.0,0.0,1.0,0.0,0.2
user_25,item_20,0.0,0.0,1.0,0.0,0.2
user_25,item_3,0.0,0.0,1.0,0.0,0.2
user_25,item_7,1.0,174.76,0.0,0.0,1.0
user_26,item_16,1.0,153.98,0.0,0.0,1.0
user_26,item_8,0.0,0.0,0.0,0.0,0.0
user_27,item_14,1.0,82.84,0.0,0.0,1.0
user_27,item_3,0.0,0.0,0.0,0.0,0.0
user_27,item_8,1.0,98.93,0.0,0.0,1.0
user_28,item_1,0.0,0.0,1.0,0.0,0.2
user_28,item_17,0.0,0.0,0.0,1.0,0.1
user_28,item_9,0.0,0.0,0.0,1.0,0.1
user_29,item_8,1.0,163.09,0.0,0.0,1.0
user_3,item_19,1.0,61.0,0.0,0.0,1.0
user_3,item_5,0.0,0.0,1.0,0.0,0.2
user_30,item_1,1.0,63.99,0.0,0.0,1.0
user_30,item_15,0.0,0.0,0.0,0.0,0.0
user_30,item_2,0.0,0.0,0.0,0.0,0.0
user_31,item_16,0.0,0.0,1.0,0.0,0.2
user_31,item_17,0.0,0.0,0.0,1.0,0.1
user_31,item_18,0.0,0.0,0.0,1.0,0.1
user_31,item_19,0.0,0.0,0.0,0.0,0.0
user_31,item_6,0.0,0.0,0.0,0.0,0.0
user_31,item_7,0.0,0.0,1.0,0.0,0.2
user_32,item_10,0.0,0.0,0.0,0.0,0.0
user_32,item_11,1.0,65.85,0.0,0.0,1.0
user_32,item_13,1.0,104.91,0.0,0.0,1.0
user_32,item_6,0.0,0.0,0.0,1.0,0.1
user_33,item_10,1.0,29.87,0.0,0.0,1.0
user_33,item_14,0.0,0.0,0.0,1.0,0.1
user_33,item_19,0.0,0.0,0.0,1.0,0.1
user_33,item_20,0.0,0.0,1.0,0.0,0.2
user_33,item_8,1.0,101.19,0.0,0.0,1.0
user_34,item_11,1.0,171.75,0.0,0.0,1.0
user_34,item_6,2.0,157.17000000000002,0.0,0.0,2.0
user_35,item_10,0.0,0.0,0.0,1.0,0.1
user_35,item_19,1.0,52.33,0.0,0.0,1.0
user_35,item_9,1.0,193.37,0.0,0.0,1.0
user_36,item_8,0.0,0.0,0.0,0.0,0.0
user_37,item_1,0.0,0.0,0.0,0.0,0.0
user_37,item_11,0.0,0.0,0.0,1.0,0.1
user_37,item_20,0.0,0.0,0.0,1.0,0.1
user_38,item_15,0.0,0.0,0.0,0.0,0.0
user_38,item_17,0.0,0.0,1.0,0.0,0.2
user_38,item_20,1.0,114.03,0.0,0.0,1.0
user_39,item_10,0.0,0.0,0.0,1.0,0.1
user_39,item_4,1.0,32.34,0.0,0.0,1.0
user_39,item_5,0.0,0.0,1.0,0.0,0.2
user_4,item_19,0.0,0.0,1.0,0.0,0.2
user_4,item_7,1.0,63.32,0.0,0.0,1.0
user_40,item_2,0.0,0.0,1.0,0.0,0.2
user_41,item_1,0.0,0.0,1.0,0.0,0.2
user_41,item_17,1.0,11.25,0.0,0.0,1.0
user_41,item_20,1.0,99.82,0.0,0.0,1.0
user_42,item_1,1.0,69.95,0.0,0.0,1.0
user_42,item_12,0.0,0.0,1.0,0.0,0.2
user_42,item_15,1.0,199.37,0.0,0.0,1.0
user_42,item_3,1.0,110.51,0.0,0.0,1.0
user_42,item_9,0.0,0.0,0.0,0.0,0.0
user_43,item_12,1.0,151.07,0.0,0.0,1.0
user_43,item_18,0.0,0.0,0.0,0.0,0.0
user_44,item_18,0.0,0.0,0.0,0.0,0.0
user_44,item_19,0.0,0.0,1.0,0.0,0.2
user_44,item_6,1.0,198.66,0.0,0.0,1.0
user_44,item_7,0.0,0.0,1.0,0.0,0.2
user_45,item_10,1.0,106.49,0.0,0.0,1.0
user_45,item_6,0.0,0.0,0.0,1.0,0.1
user_45,item_9,0.0,0.0,1.0,0.0,0.2
user_46,item_18,1.0,158.41,0.0,0.0,1.0
user_46,item_19,1.0,14.11,0.0,0.0,1.0
user_47,item_1,1.0,100.06,0.0,0.0,1.0
user_47,item_10,0.0,0.0,0.0,0.0,0.0
user_47,item_11,0.0,0.0,0.0,1.0,0.1
user_47,item_16,1.0,116.64,0.0,0.0,1.0
user_47,item_17,0.0,0.0,0.0,1.0,0.1
user_47,item_18,1.0,77.66,0.0,0.0,1.0
user_47,item_9,0.0,0.0,0.0,1.0,0.1
user_48,item_15,0.0,0.0,1.0,0.0,0.2
user_49,item_15,1.0,176.91,0.0,0.0,1.0
user_49,item_18,1.0,192.52,0.0,0.0,1.0
user_49,item_20,1.0,186.42,0.0,0.0,1.0
user_49,item_8,0.0,0.0,0.0,0.0,0.0
user_5,item_11,1.0,124.24,0.0,0.0,1.0
user_5,item_17,0.0,0.0,0.0,0.0,0.0
user_5,item_4,0.0,0.0,0.0,1.0,0.1
user_50,item_17,0.0,0.0,0.0,1.0,0.1
user_51,item_15,1.0,75.26,0.0,1.0,1.1
user_51,item_17,0.0,0.0,0.0,0.0,0.0
user_51,item_9,0.0,0.0,0.0,0.0,0.0
user_52,item_17,0.0,0.0,1.0,0.0,0.2
user_52,item_4,0.0,0.0,0.0,1.0,0.1
user_53,item_8,0.0,0.0,0.0,0.0,0.0
user_54,item_16,0.0,0.0,0.0,0.0,0.0
user_55,item_1,0.0,0.0,0.0,0.0,0.0
user_55,item_10,0.0,0.0,0.0,1.0,0.1
user_55,item_14,0.0,0.0,1.0,0.0,0.2
user_55,item_15,0.0,0.0,0.0,0.0,0.0
user_55,item_7,1.0,90.9,0.0,0.0,1.0
user_56,item_12,0.0,0.0,0.0,1.0,0.1
user_57,item_2,1.0,144.17,0.0,0.0,1.0
user_57,item_3,0.0,0.0,1.0,0.0,0.2
user_57,item_7,1.0,118.07,0.0,0.0,1.0
user_58,item_9,0.0,0.0,0.0,0.0,0.0
user_59,item_13,0.0,0.0,0.0,1.0,0.1
user_59,item_17,0.0,0.0,1.0,0.0,0.2
user_59,item_3,1.0,130.64,0.0,0.0,1.0
user_59,item_9,0.0,0.0,0.0,1.0,0.1
user_6,item_14,0.0,0.0,0.0,0.0,0.0
user_6,item_17,1.0,48.03,0.0,0.0,1.0
user_6,item_7,0.0,0.0,0.0,1.0,0.1
user_6,item_8,0.0,0.0,0.0,0.0,0.0
user_60,item_10,0.0,0.0,0.0,1.0,0.1
user_60,item_11,0.0,0.0,1.0,0.0,0.2
user_60,item_9,1.0,144.18,0.0,0.0,1.0
user_61,item_14,0.0,0.0,0.0,1.0,0.1
user_61,item_2,1.0,67.27,0.0,0.0,1.0
user_62,item_1,0.0,0.0,0.0,0.0,0.0
user_62,item_12,0.0,0.0,0.0,0.0,0.0
user_62,item_6,0.0,0.0,0.0,0.0,0.0
user_62,item_7,1.0,166.1,0.0,0.0,1.0
user_64,item_7,1.0,131.17,0.0,0.0,1.0
user_65,item_12,1.0,165.16,0.0,0.0,1.0
user_66,item_1,0.0,0.0,0.0,0.0,0.0
user_66,item_13,0.0,0.0,0.0,0.0,0.0
user_66,item_20,0.0,0.0,0.0,1.0,0.1
user_67,item_13,1.0,65.92,0.0,0.0,1.0
user_67,item_18,1.0,199.59,0.0,0.0,1.0
user_68,item_10,0.0,0.0,0.0,0.0,0.0
user_68,item_12,0.0,0.0,0.0,0.0,0.0
user_68,item_13,0.0,0.0,0.0,1.0,0.1
user_68,item_2,0.0,0.0,1.0,0.0,0.2
user_68,item_20,0.0,0.0,0.0,0.0,0.0
user_68,item_3,1.0,118.19,0.0,0.0,1.0
user_69,item_17,0.0,0.0,0.0,1.0,0.1
user_7,item_12,0.0,0.0,0.0,1.0,0.1
user_7,item_17,1.0,65.06,0.0,0.0,1.0
user_7,item_3,1.0,32.37,1.0,0.0,1.2
user_70,item_10,0.0,0.0,0.0,0.0,0.0
user_70,item_4,1.0,59.36,0.0,0.0,1.0
user_70,item_6,0.0,0.0,0.0,0.0,0.0
user_71,item_10,0.0,0.0,0.0,0.0,0.0
user_71,item_2,0.0,0.0,0.0,0.0,0.0
user_71,item_5,1.0,181.21,0.0,0.0,1.0
user_72,item_17,0.0,0.0,0.0,0.0,0.0
user_72,item_7,0.0,0.0,1.0,0.0,0.2
user_73,item_10,0.0,0.0,0.0,1.0,0.1
user_73,item_12,1.0,162.01,0.0,0.0,1.0
user_73,item_17,1.0,35.5,0.0,0.0,1.0
user_74,item_13,1.0,148.45,0.0,0.0,1.0
user_74,item_14,0.0,0.0,0.0,0.0,0.0
user_74,item_15,0.0,0.0,1.0,0.0,0.2
user_74,item_9,1.0,89.98,0.0,0.0,1.0
user_75,item_17,0.0,0.0,1.0,0.0,0.2
user_75,item_9,1.0,195.63,0.0,0.0,1.0
user_76,item_13,0.0,0.0,0.0,0.0,0.0
user_76,item_7,1.0,172.24,0.0,0.0,1.0
user_77,item_10,0.0,0.0,0.0,1.0,0.1
user_78,item_12,0.0,0.0,0.0,1.0,0.1
user_78,item_4,0.0,0.0,1.0,0.0,0.2
user_79,item_11,0.0,0.0,1.0,0.0,0.2
user_79,item_15,1.0,21.06,0.0,0.0,1.0
user_79,item_19,0.0,0.0,0.0,1.0,0.1
user_79,item_3,0.0,0.0,0.0,1.0,0.1
user_8,item_13,0.0,0.0,0.0,0.0,0.0
user_8,item_15,0.0,0.0,1.0,0.0,0.2
user_80,item_1,0.0,0.0,1.0,0.0,0.2
user_80,item_17,1.0,44.67,0.0,0.0,1.0
user_80,item_20,1.0,75.74,0.0,0.0,1.0
user_80,item_4,0.0,0.0,1.0,0.0,0.2
user_80,item_8,0.0,0.0,0.0,0.0,0.0
user_81,item_11,0.0,0.0,0.0,0.0,0.0
user_81,item_6,0.0,0.0,1.0,0.0,0.2
user_82,item_1,2.0,246.85000000000002,0.0,0.0,2.0
user_82,item_17,1.0,160.51,0.0,0.0,1.0
user_82,item_18,1.0,150.09,0.0,0.0,1.0
